dj	dj || 0
become	amount,arise,beautify,break,change state,develop,embellish,fancify,form,get,go,grow,make,metamorphose,occur,originate,prettify,reduce,rise,run,settle,suffocate,suit,take,transform,transmute,turn,work || -0.399051741003
become flat	die || 0.0
bed	bang,have,know,love,take || 0.399051741003
bed down	crash || 0.0
bedevil	beat,beleaguer,frustrate,get,pose,stick,throw || 0
bedim	eclipse || -0.329679953964
bedo	come || 0.0
beef	bellyache,complain,crab,gripe,grouse,holler,kick,kvetch,plain,quetch,sound off,squawk || 0
beef up	brace,confirm,restrengthen,secure,stabilise,stabilize,steady,strengthen || 0.0
befall	happen || 0
befit	suit || 0.550671035883
befog	overshadow* || 0
befriend^	attach,bind,bond,tie || 0.0
befuddle	beat,get,pose,stick,throw || -0.329679953964
beg	insist,tap || 0.0
beget	father,generate || 0
begin	accomplish,achieve,act,attain,be,begin,commence,embark,enter,fall,get,get down,introduce,jump-start,launch,lead off,mouth,move,originate,plunge,reach,set about,set out,speak,start,start out,start up,talk,utter,verbalise,verbalize || -0.798103482005
begrime	spot || -0.550671035883
beguile	catch,hold,work || 0
behave	acquit,act,assert,bear,carry,comport,conduct,deal,deport,do,follow,hold,joke,make,move,optimize,play,pose,relax,snap,swagger,swell || 0.479618898011
beleaguer	assail,attack,badger,bedevil,besiege,bug,circumvent,crucify,dun,frustrate,hem in,pester,rag,surround,tease,torment || 0.329679953964
belie	affect,contradict || 0
believe	accept,anticipate,bank,buy,conceive,consider,credit,evaluate,expect,feel,hold,judge,pass judgment,regard,rethink,see,think,trust,view || 0.30309401557
belittle	deprecate,depreciate,diminish,minimize,trash || -0.550671035883
bell	attach || 0
bellyache	beef,crab || 0
belong	be,consist,dwell,exist,go,lie,lie in || 0
belt along	buck,charge,dash,race,rush,shoot,speed || 0.0
belt down	pop || 0.0
bemire	spot || -0.550671035883
bemock	guy,rally,ride,ridicule || -0.329679953964
bemuse	throw || -0.329679953964
bend	crawl,creep,curve,dent,double,huddle,tip,turn || 0.172932943353
benefit^	acquire,aid,capitalize,clear,do good,gain,get,help,net,profit || 0.0
benumb	dull || -0.698805788088
bequeath	leave,remember,will || 0
berate	correct || -0.518798830058
beseech	bid,press || 0.329679953964
beseem	suit || 0.550671035883
beset	adorn,annoy,assail,assault,attack,beautify,bother,chafe,chevvy,chevy,chivvy,chivy,decorate,devil,embellish,encrust,frustrate,get at,get to,grace,gravel,harass,harry,hassle,incrust,irritate,molest,nark,nettle,ornament,plague,provoke,rag,rile,set on,set upon,vex || 0
besiege	beleaguer,surround || -0.232935262696
bespeak	appeal,ask,augur,book,call,challenge,claim,demand,forecast,hold,indicate,mark,order,point,predict,request,reserve,signal,tap || 0
best	beat,beat out,crush,outdo,outflank,scoop,shell,trounce,trump,vanquish || 0.972676277553
bestabilize	calm || 0.0
bestir	rouse || 0.329679953964
bestow	add,bless,bring,contribute,lend || 0.329679953964
bestride	mount || 0.329679953964
bet	anticipate,back,bank,calculate,call,count,depend,forebode,foretell,gamble,game,look,play,predict,prognosticate,promise,raise,reckon,rely,see,stake,swear,trust,wager || -0.329679953964
bet on	back,game,stake || 0.0
betoken	augur,forecast,indicate,mark,point,predict,signal,threaten* || -0.329679953964
betray	fail,pose,sell,shop,snow || -0.518798830058
betroth	plight || 0
better	advance,aid,alter,ameliorate,amend,break,build,bushel,change,change state,condition,develop,down,enhance,exceed,fix,help,improve,lift,meliorate,modify,outdo,outgo,outmatch,outperform,outstrip,raise,recover^,relieve,restore^,surge^,surmount,surpass^,turn || 0.698805788088
beware	look out,mind,watch,watch out || 0.329679953964
bewilder	beat,get,pose,riddle,stick,throw || -0.698805788088
bewitch	catch,hold,spell,work || 0
bi bike	cycle || 0.0
bias	predetermine,prejudice,prepossess,weight || 0
bid	adjure,allure,beseech,call,challenge,conjure,double,entreat,greet,invite,offer,outbid,play,plead,press,raise,recognise,recognize,request,seek,subscribe,tempt,tender,wish || 0.518798830058
bide	stay,visit || 0.329679953964
biff	pummel || 0
bilk	cross,dash,disappoint,frustrate,ruin*,short-circuit,thwart || -0.60618803114
bill	account,advertise,advertize,calculate,charge,invoice,placard,post,promote^,push || 0
billet	quarter || 0
billow	balloon,inflate,surge^ || 0.698805788088
bind	adhere,article,attach,band,bandage,befriend^,bond,confine,constipate,cover,fasten,fix,hold,hold fast,indispose,obligate,oblige,pledge,relate,restrain,secure,stick,stick to,tie,tie down,tie up,truss || 0.10807514195
binge	stuff || 0
birl	spin || 0
birth	bear,carry,deliver,drop,expect,have,lamb || 0
bite	ache,burn,gnaw,grip,hurt,pierce,prick,seize with teeth,smart,sting || -0.550671035883
blab	talk || -0.329679953964
blab out	talk || 0.0
black market	run || 0.0
black out	swoon || 0.0
blackball	ban,banish,negative,shun || -0.329679953964
blacken	swinge || -0.329679953964
blackguard	abuse,expose,guy,ridicule || 0.0
blackjack	pressure || 0
blackmail	pressure || 0
blame*	accuse,ascribe,assign,attribute,charge,criticise*,criticize,fault,find fault,impute,knock,pick,pick apart || 0.0
blank out	block,forget,slip || 0.0
blare	blast || 0
blarney	bully,swagger || 0.550671035883
blast	blare,bomb,bombard,boom,hit,make noise,nail,noise,resound,shell,smash || -0.329679953964
blazon out	cry || 0.0
bleed	flow,run || -0.329679953964
blemish	mark,spot || -0.329679953964
blend	combine,gauge,go,mix || -0.232935262696
blend in	go || 0.0
bless	arouse,bestow,bring up,call down,call forth,confer,conjure,conjure up,consecrate,declare,evoke,gesticulate,gesture,hallow,invoke,motion,oil,put forward,raise,sanctify,sign,stir || 0.232935262696
blight	plague || 0
blind	dim || -0.550671035883
blink	act involuntarily,act reflexively,blink away,conquer,curb,flash,flutter,inhibit,nictate,nictitate,radiate,stamp down,subdue,suppress,twinkle,wink,winkle || 0
blink away	blink || 0.0
blob	spot,tarnish || 0
block	anaesthetise,anaesthetize,anesthetise,anesthetize,back up,bar,barricade,blank out,block off,block up,blockade,boss,break up,choke,choke off,choke up,clog,clog up,close,close up,conceal,congest,cut off,deflect,disrupt,draw a blank,embarrass,emboss,fence,forbid,foreclose,forestall,forget,form,foul,freeze,halt,hang,hide,hinder,hold,hold up,immobilise,immobilize,impede,interrupt,jam,keep back,kibosh,lug,obstruct,obturate,occlude,operate,parry,preclude,prevent,put out,put to sleep,put under,run,shape,slip,stamp,stay,stifle,stop,stuff,stymie,stymy,suffocate,support,sustain,withhold || 0.518798830058
block off	block,close,stop || 0.0
block up	block,close,stop || 0.0
blockade	block,close,hang,stop || 0.329679953964
blot	spot,tarnish || -0.329679953964
blot out	hide || 0.0
blotch	streak || -0.329679953964
blow	amplify,ball up,be adrift,blow out,bluster,boast,bobble,bodge,bollix,bollix up,bollocks,bollocks up,botch,botch up,brag,break,break down,break open,breathe out,bring out,bumble,bungle,burn out,burst,conk out,depart,die,direct,discharge,disclose,discover,displace,divulge,drift,drop,eject,exaggerate,excite,exhale,expel,expend,expire,expose,fail,fellate,float,flub,fluff,form,foul up,fuck up,fumble,gas,gasconade,give away,give out,give way,go,go away,go bad,go down on,go wrong,gush,hyerbolise,hyperbolize,impart,lay,let on,let out,locomote,louse up,magnify,mess up,miscarry,mishandle,move,muck up,muff,overdraw,overstate,put down,release,repose,rest,reveal,screw up,send,shape,shoot a line,shove along,shove off,sound,spend,spirt,split,spoil,spout,spurt,squander,stimulate,stir,swash,tout,travel,unwrap,use,vaunt,waste || 0.363581551609
blow out	blow || 0.0
blow out of the water	galvanise,galvanize,shock || 0.0
blow over	fade,pass || 0.0
blow up	amplify,enlarge,expand,inflate,magnify,pad,surge^ || 0.0
bludgeon	club || 0
blue	color,colour,discolor,discolour || -0.629616785498
blunt	break,damp,dampen,dull,soften,weaken || 0.232935262696
blur	dim,dust || -0.589010616667
bluster	blow,gas,swagger,tout || -0.698805788088
board	catch,cater,come in,dwell,embark,enter,get in,get into,get on,go in,go into,habituate,inhabit,live,move into,ply,provide,room,supply,use || -0.550671035883
boast	blow,feature,gas,sport,tout || 0.329679953964
bob	tail || -0.232935262696
bob up	arise || 0.0
bobble	blow || 0.688488532324
bode	augur,forecast,predict,threaten* || -0.329679953964
bodge	blow || 0.688488532324
body	em be,personify || 0
boil	roll || -0.329679953964
boil down	reduce || 0.0
bollix	blow || 0.688488532324
bollix up	blow || 0.0
bollocks	blow || 0.688488532324
bollocks up	blow || 0.0
bolster	bolster up,fill,fill up,make full,pad,prop,prop up,reenforce,reinforce,shore,shore up || 0.550671035883
bolster up	bolster || 0.0
bolt belt pour drink kill	down || 0.0
bolt down	pop || 0.0
bomb	blast,fail || -0.329679953964
bombard	blast || -0.550671035883
bond	adhere,attach,befriend^,bind,bring together,draw together,hold fast,mortgage,relate,stick,stick to,tie,unify,unite^ || -0.550671035883
bonk	bang,have,know,love,take || 0.232935262696
book	bespeak,call for,enter,fine,hold,keep,put down,quest,record,register,request,reserve,save,schedule || 0.329679953964
boom	blast,boom out,din,expand,flourish,get ahead,go,grow,hit,nail,prosper^,revive,smash,sound,thrive,thunder || -0.698805788088
boom out	boom || 0.0
boost	advance,back up,bring up,carry,contribute,elevate,encourage,feed,foster,further,get up,help,hike,hike up,increase,lead,lift,promote^,raise,spur,supercharge,support,thrust || 0.550671035883
boot out	bounce,bump,dislodge,displace || 0.0
booze	carry,hold,soak,wine || 0.329679953964
border	bound,butt,edge,march,neighbor,neighbour,shore,surround || 0
border on	approach || 0.0
borrow	accept,acquire,adopt,get,have,take,take over,take up || 0.550671035883
bosom	embrace,hug,squeeze || 0
boss	block,em stamp,impress,imprint || 0.329679953964
boss around	bully || 0.0
botch	blow || 0.688488532324
botch up	blow || 0.0
bother	affect,agitate,annoy,bear on,bear upon,beset,chafe,charge,charge up,commove,confuse,devil,discommode,disconcert,disoblige,displease,excite,flurry,get,get at,get to,gravel,impact,incommode,inconvenience,inconvenience oneself,intrude,irritate,irrupt,nark,nettle,plague,provoke,put off,put out,rag,reach,rile,rouse,strain,strive,touch,touch on,trouble,trouble oneself,turn on,vex || -0.864664716763
bottle	lay,place,pose,position,put,set,store || 0
bottle up	hold back,keep,keep back,restrain,suppress || 0.0
bottle-feed	nurse,suck || 0
bottom	collide with,fathom,furnish,hit,impinge on,penetrate,provide,render,run into,strike,supply,understand || 0
bounce	boot out,bound,chuck out,come back,decline*,eject,exclude,expel,get back,go,go back,hit,jounce,jump,kick,kick out,leap,locomote,move,pass up,rebound^,recoil,refuse,reject,resile,return,reverberate,ricochet,skip,spring,take a hop,throw out,travel,turf out,turn down,turn out || 0.0
bound	border,bounce,check,confine,contain,control,curb,enclose,hamper,hold,hold in,jump,kick,leap,limit,moderate,move,re recoil,rebound^,reduce,rein,resile,restrain,restrict,reverberate,ricochet,rule,shore,skip,spring,stiffen,take a hop,throttle,tie,trammel || -0.172932943353
bound off	skip || 0.0
bourgeon	shoot || 0
bow	huddle,submit || -0.172932943353
bow out	withdraw || 0.0
box	package || 0
brace	affect,arouse,beef up,energise,energize,fix,fortify,gear up,guy,hold,hold up,perk up,poise,prepare,ready,renovate,revive,set,set up,stabilise,stabilize,steady,steel,stimulate,strengthen,support,sustain,tread || 0.518798830058
bracket	bracket out,edit,group,hold,hold up,redact,support,sustain || 0
bracket out	bracket || 0.0
brag	blow,gas,tout || 0.329679953964
brake	halt,skid,stop || -0.329679953964
branch out	broaden,diversify || 0.0
brand	mark,post || 0
brandish	wave || 0
brave	endure,weather || 0.392673744445
brave out	endure,weather || 0.0
bray	crunch,grind || -0.329679953964
breach	break,disrespect,gap,go against,infract,offend,open,open up,transgress,violate || 0
break	alter,annul,appear,assign,avoid,bankrupt,become,better,blow,blunt,breach,break away,break dance,break down,break in,break loose,break off,break out,break up,break-dance,bring out,bump,burst,bust,cave in,cease,change,change integrity,change state,check,collapse*,come about,come apart,come forth,commute,conk out,convert,crack,crash,crumble,cut off,damage,damp,dampen,dance,dash,deaden,decay,decrease,delapidate,delegate,demote,depute,designate,destroy,detach,develop,die,diminish,diphthongise,diphthongize,disclose,discontinue,discover,disjoint,disperse,disrespect,disrupt,dissipate,disunite,divide,divorce,divulge,domesticate,domesticise,domesticize,emerge,end,erupt,escape,exceed,exchange,expose,express emotion,express feelings,fail,fall,fall apart,fall in,fall out,figure out,finish,flee,fly,founder,fracture,french,get,get around,get away,get out,give,give away,give out,give up,give way,go,go against,go bad,go on,hap,happen,impart,impoverish,infract,injure,intermit,interrupt,intrude,invalidate,kick downstairs,lay off,lessen,let on,let out,lick,modify,nullify,occur,offend,out,outdo,outgo,outmatch,outperform,outstrip,part,pass,pass off,pause,penetrate,perforate,puzzle out,quash,quit,reclaim,recrudesce,reduce,relegate,rest,reveal,ruin*,run,scatter,separate,shatter,shift,shoot,sink,slump,smash,snap,snap off,soften,solve,split,split up,spread out,stop,surmount,surpass^,suspend,switch,take flight,take place,talk,tame,tell,terminate,transgress,trespass,trip the light fantastic,trip the light fantastic toe,turn,unwrap,vary,violate,void,weaken,wear,wear out,work,work out,wound || -0.128205106682
break apart	break up,crash || 0.0
break away	break,chip,flee,run || 0.0
break dance	break || 0.0
break down	blow,break,break up,collapse*,crash,crumble,die,digest,fail,go,snap,tumble || 0.0
break in	break || 0.0
break loose	break,shake,slip || 0.0
break off	break,break up,chip,french,stop || 0.0
break open	blow,pop,split || 0.0
break out	break || 0.0
break up	adjourn,alter,block,break,break apart,break down,break off,calve,cease,change,change integrity,collapse*,come apart,crack,crack up,crash,crock up,crunch,cut,cut off,decompose,destroy,destruct,digest,disassemble,discontinue,disintegrate,disjoint,dismantle,dispel,disperse,disrupt,dissipate,dissolve,disunite,divide,divorce,end,express joy,express mirth,fall apart,finish,fragment,fragmentise,fragmentize,get,grind,have,inject,interrupt,laugh,modify,part,pause,pick,pierce,pound,recess,resolve,run,scatter,separate,sever,split,split up,stop,suffer,sustain,take apart,terminate || 0.0
break-dance	break || 0
breast	front || 0
breastfeed	nurse,suck || 0
breathe	inspire^,rest || 0.518798830058
breathe in	drag,draw,inspire^ || 0.0
breathe out	blow || 0.0
breed	cover,cross || 0.329679953964
bribe	buy,corrupt,grease one's palms,pay || 0
brief	apprise,apprize,instruct || -0.698805788088
brighten	clear || 0.939189937375
brine	douse,dowse,drench,soak,sop,souse || 0
bring	add,alter,attract,bestow,bring in,carry,cause,change,channel,channelise,channelize,conduct,contribute,convey,create,deliver,draw,draw in,fetch,get,have,impart,induce,institute,land,lend,make,make for,modify,play,pull,pull in,return,stimulate,take,transfer,transmit,transport,tube,work,wreak || -0.134169991054
